text,label
Don’t miss out on this amazing deal!,spam
"Limited offer, click here fast!",spam
"Your account has been flagged, verify here: [phishing link].",scam
Join our server for free giveaways!!!,spam
Invest 500 and earn 5000 in two days!,scam
"Limited offer, click here fast!",spam
Subscribe now to win free Nitro!,spam
"You're such a loser, nobody likes you.",bullying
"You’ll never be good enough, just stop trying.",bullying
Join our server for free giveaways!!!,spam
Why are you even here? Go away.,bullying
What’s your favorite game these days?,normal
Let’s play later today!,normal
"Your account has been flagged, verify here: [phishing link].",scam
"Congrats! You’ve won a free iPhone, click the link.",scam
"Limited offer, click here fast!",spam
"You’ll never be good enough, just stop trying.",bullying
"Everyone hates you, just quit already.",bullying
Click this link for 1000 free followers!,spam
I’ll finish my homework and then join VC.,normal
Invest 500 and earn 5000 in two days!,scam
"Send me your UPI ID, I’ll transfer money.",scam
That movie was really fun to watch.,normal
I’ll finish my homework and then join VC.,normal
What’s your favorite game these days?,normal
Why are you even here? Go away.,bullying
That movie was really fun to watch.,normal
Click this link for 1000 free followers!,spam
That movie was really fun to watch.,normal
"Limited offer, click here fast!",spam
"Congrats! You’ve won a free iPhone, click the link.",scam
Invest 500 and earn 5000 in two days!,scam
"Your account has been flagged, verify here: [phishing link].",scam
"Everyone hates you, just quit already.",bullying
Subscribe now to win free Nitro!,spam
"Congrats! You’ve won a free iPhone, click the link.",scam
"You’ll never be good enough, just stop trying.",bullying
"Congrats! You’ve won a free iPhone, click the link.",scam
Don’t miss out on this amazing deal!,spam
You're worthless and pathetic.,bullying
"Send me your UPI ID, I’ll transfer money.",scam
Don’t miss out on this amazing deal!,spam
"Your account has been flagged, verify here: [phishing link].",scam
Join our server for free giveaways!!!,spam
"Your account has been flagged, verify here: [phishing link].",scam
You're worthless and pathetic.,bullying
"Limited offer, click here fast!",spam
"This is Discord staff, share your password for verification.",scam
You're worthless and pathetic.,bullying
"Everyone hates you, just quit already.",bullying
"Limited offer, click here fast!",spam
"You’ll never be good enough, just stop trying.",bullying
"This is Discord staff, share your password for verification.",scam
I’ll finish my homework and then join VC.,normal
"Congrats! You’ve won a free iPhone, click the link.",scam
"Send me your UPI ID, I’ll transfer money.",scam
"Limited offer, click here fast!",spam
"Hey, how’s it going?",normal
"Congrats! You’ve won a free iPhone, click the link.",scam
What’s your favorite game these days?,normal
"Limited offer, click here fast!",spam
"Send me your UPI ID, I’ll transfer money.",scam
Join our server for free giveaways!!!,spam
I’ll finish my homework and then join VC.,normal
"Send me your UPI ID, I’ll transfer money.",scam
"You're such a loser, nobody likes you.",bullying
Join our server for free giveaways!!!,spam
"Congrats! You’ve won a free iPhone, click the link.",scam
I’ll finish my homework and then join VC.,normal
"Send me your UPI ID, I’ll transfer money.",scam
Subscribe now to win free Nitro!,spam
"Your account has been flagged, verify here: [phishing link].",scam
You're worthless and pathetic.,bullying
You're worthless and pathetic.,bullying
That movie was really fun to watch.,normal
"Your account has been flagged, verify here: [phishing link].",scam
Let’s play later today!,normal
Invest 500 and earn 5000 in two days!,scam
"Your account has been flagged, verify here: [phishing link].",scam
That movie was really fun to watch.,normal
Subscribe now to win free Nitro!,spam
That movie was really fun to watch.,normal
Subscribe now to win free Nitro!,spam
That movie was really fun to watch.,normal
Subscribe now to win free Nitro!,spam
"Send me your UPI ID, I’ll transfer money.",scam
Join our server for free giveaways!!!,spam
Invest 500 and earn 5000 in two days!,scam
Let’s play later today!,normal
"You're such a loser, nobody likes you.",bullying
Click this link for 1000 free followers!,spam
Why are you even here? Go away.,bullying
